"configuration","problem","model","data_file","status","time","flatBoolVars","flatIntConstraints","initTime","eliminatedImplications","evaluatedHalfReifiedConstraints","solutions","restarts","variables","peakDepth","propagations","flatBoolConstraints","method","run","objective","paths","flatIntVars","failures","nSolutions","nodes","propagators","solveTime","flatTime"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta78_7a_alloc3.dzn","OPTIMAL_SOLUTION","413.19024334847927","206560","218772","3.12707","4200","210660","188","0","214778","1485","514243563","105200","minimize","results","-13752","0","8218","23067","188","156262","319771","389.762","15.6536"
"Median_Gecode_BB",".","jobshop_gini.mzn","dzn/ta62_4a_alloc3.dzn","SATISFIED","602.1392518654466","53216","59325","0.719482","2100","55266","20","0","57325","298","2775134421","27600","minimize","results","-4533","0","4109","328815","20","659964","84824","595.673","4.33317"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta43_2a_alloc2.dzn","OPTIMAL_SOLUTION","9.337636712938547","19907","23574","0.2647","1260","21137","84","0","22374","600","20558874","10560","minimize","results","-29578","0","2466","4272","84","29412","32873","6.98667","1.6553"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/maxeff_ta58_5a_alloc2.dzn","OPTIMAL_SOLUTION","31.876920947805047","39957","44589","0.573085","1600","41507","147","0","43088","750","105031219","20725","minimize","results","-39085","0","3131","10921","147","67603","63713","27.3176","3.16262"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/maxeff_ta75_6a_alloc3.dzn","SATISFIED","605.8412098195404","206579","218822","","4200","210679","","","","","","105200","minimize","results","-66203","0","8242","","261","","","","16.0987"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta35_2a_alloc1.dzn","OPTIMAL_SOLUTION","5.539233330637217","14962","17729","0.198169","960","15892","73","0","16830","437","13159734","7935","minimize","results","-10837","0","1868","2656","73","18084","24703","3.63706","1.35071"
"Median_Gecode_Decomp",".","jobshop_gini.mzn","dzn/ta61_4a_alloc3.dzn","OPTIMAL_SOLUTION","35.59352430514991","53218","59327","0.807948","2100","55268","99","0","57330","799","67278399","27600","minimize","results","-12476","0","4112","6950","99","47024","84826","28.7162","4.72223"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta44_3a_alloc1.dzn","OPTIMAL_SOLUTION","12.003338273614645","19908","23576","0.274975","1260","21138","117","0","22376","600","29819099","10560","minimize","results","-30486","0","2467","6094","117","43846","32875","9.50623","1.79206"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/mindis_ta70_3a_alloc3.dzn","SATISFIED","602.0130515042692","53250","59357","0.732337","2100","55300","15","0","57357","289","3665668761","27600","minimize","results","420","0","4106","299695","15","602108","84856","595.701","4.30224"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/mindis_ta78_7a_alloc2.dzn","SATISFIED","605.6644327193499","206560","218815","","4200","210660","","","","","","105200","minimize","results","2364","0","8254","","9","","","","15.5353"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta79_7a_alloc3.dzn","SATISFIED","605.891351364553","206560","218772","","4200","210660","","","","","","105200","minimize","results","-12434","0","8211","","30","","","","15.5597"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/maxeff_ta55_4a_alloc1.dzn","OPTIMAL_SOLUTION","36.8100761808455","39956","44579","0.529527","1600","41506","185","0","43078","750","124970149","20725","minimize","results","-36869","0","3122","12491","185","86520","63703","32.305799","3.08015"
"Gecode_BB",".","jobshop_gini.mzn","new_dzn/maxeff_ta76_6a_alloc1.dzn","SATISFIED","605.8415163978934","206558","218769","","4200","210658","","","","","","105200","minimize","results","-71738","0","8210","","261","","","","15.6559"
"Gecode_Decomp",".","jobshop_gini.mzn","new_dzn/maxeff_ta72_10a_alloc3.dzn","SATISFIED","605.7744705807418","206561","218868","","4200","210661","","","","","","105200","minimize","results","-32956","0","8306","","94","","","","16.207899"
